amount,note,type_name,type_category
-767,Примітка 233,Кава,Канцелярія
-865,Примітка 234,Шафа,Інше
-356,Примітка 235,Мило,Оренда
556,Примітка 236,Хліб,Інше
692,Примітка 237,Папір,Їжа
-725,Примітка 238,Папір,Інше
808,Примітка 239,Кава,Їжа
116,Примітка 240,Ручка,Канцелярія
762,Примітка 241,Мило,Їжа
481,Примітка 242,Оренда офісу,Оренда
257,Примітка 243,Ручка,Їжа
-672,Примітка 244,Мило,Інше
428,Примітка 245,Оренда офісу,Канцелярія
-333,Примітка 246,Оренда офісу,Канцелярія
-481,Примітка 247,Мило,Канцелярія
-811,Примітка 248,Шафа,Канцелярія
-481,Примітка 249,Мило,Канцелярія
-419,Примітка 250,Папір,Інше
165,Примітка 251,Папір,Оренда
-226,Примітка 252,Шафа,Їжа
-20,Примітка 253,Оренда офісу,Інше
-910,Примітка 254,Ручка,Інше
436,Примітка 255,Папір,Оренда
-585,Примітка 256,Хліб,Оренда
378,Примітка 257,Мило,Канцелярія
285,Примітка 258,Шафа,Інше
716,Примітка 259,Кава,Їжа
469,Примітка 260,Кава,Канцелярія
-603,Примітка 261,Хліб,Інше
449,Примітка 262,Папір,Їжа
-183,Примітка 263,Хліб,Канцелярія
-134,Примітка 264,Ручка,Канцелярія
540,Примітка 265,Хліб,Оренда
-545,Примітка 266,Шафа,Оренда
831,Примітка 267,Папір,Інше
-551,Примітка 268,Мило,Їжа
-617,Примітка 269,Кава,Інше
-461,Примітка 270,Мило,Інше
-422,Примітка 271,Папір,Оренда
-919,Примітка 272,Ручка,Інше
-685,Примітка 273,Шафа,Оренда
-660,Примітка 274,Мило,Оренда
-837,Примітка 275,Кава,Інше
13,Примітка 276,Оренда офісу,Їжа
812,Примітка 277,Папір,Оренда
-965,Примітка 278,Папір,Їжа
-342,Примітка 279,Папір,Їжа
769,Примітка 280,Хліб,Їжа
256,Примітка 281,Хліб,Оренда
295,Примітка 282,Шафа,Канцелярія
-918,Примітка 283,Оренда офісу,Оренда
260,Примітка 284,Мило,Канцелярія
-201,Примітка 285,Шафа,Канцелярія
663,Примітка 286,Кава,Канцелярія
-357,Примітка 287,Мило,Оренда
938,Примітка 288,Хліб,Оренда
516,Примітка 289,Ручка,Канцелярія
857,Примітка 290,Шафа,Їжа
-263,Примітка 291,Хліб,Їжа
505,Примітка 292,Кава,Їжа
269,Примітка 293,Шафа,Інше
874,Примітка 294,Хліб,Канцелярія
991,Примітка 295,Шафа,Інше
-809,Примітка 296,Хліб,Канцелярія
583,Примітка 297,Папір,Оренда
-483,Примітка 298,Мило,Їжа
-754,Примітка 299,Кава,Оренда
351,Примітка 300,Папір,Канцелярія
-937,Примітка 301,Мило,Їжа
315,Примітка 302,Шафа,Канцелярія
-109,Примітка 303,Хліб,Оренда
-17,Примітка 304,Мило,Їжа
-563,Примітка 305,Папір,Оренда
-708,Примітка 306,Мило,Їжа
-459,Примітка 307,Шафа,Канцелярія
426,Примітка 308,Мило,Інше
-425,Примітка 309,Ручка,Їжа
-863,Примітка 310,Ручка,Їжа
-249,Примітка 311,Шафа,Інше
797,Примітка 312,Папір,Інше
509,Примітка 313,Оренда офісу,Їжа
209,Примітка 314,Мило,Оренда
585,Примітка 315,Мило,Оренда
-133,Примітка 316,Папір,Інше
-772,Примітка 317,Оренда офісу,Їжа
-767,Примітка 318,Оренда офісу,Канцелярія
-456,Примітка 319,Ручка,Канцелярія
323,Примітка 320,Ручка,Канцелярія
-931,Примітка 321,Оренда офісу,Інше
926,Примітка 322,Оренда офісу,Інше
-280,Примітка 323,Ручка,Оренда
-141,Примітка 324,Шафа,Канцелярія
360,Примітка 325,Мило,Оренда
-193,Примітка 326,Папір,Оренда
-911,Примітка 327,Кава,Інше
572,Примітка 328,Шафа,Оренда
-530,Примітка 329,Папір,Інше
-2,Примітка 330,Мило,Інше
540,Примітка 331,Ручка,Канцелярія
-178,Примітка 332,Шафа,Їжа
982,Примітка 333,Шафа,Їжа
-211,Примітка 334,Шафа,Оренда
273,Примітка 335,Оренда офісу,Оренда
866,Примітка 336,Папір,Інше
802,Примітка 337,Ручка,Оренда
-28,Примітка 338,Ручка,Їжа
831,Примітка 339,Папір,Оренда
777,Примітка 340,Шафа,Оренда
766,Примітка 341,Ручка,Їжа
728,Примітка 342,Ручка,Оренда
-273,Примітка 343,Шафа,Інше
-498,Примітка 344,Шафа,Оренда
-178,Примітка 345,Шафа,Їжа
-494,Примітка 346,Ручка,Їжа
-824,Примітка 347,Хліб,Оренда
-31,Примітка 348,Оренда офісу,Оренда
169,Примітка 349,Ручка,Канцелярія
-839,Примітка 350,Папір,Канцелярія
561,Примітка 351,Кава,Канцелярія
-183,Примітка 352,Папір,Оренда
849,Примітка 353,Кава,Інше
30,Примітка 354,Шафа,Оренда
-698,Примітка 355,Шафа,Оренда
674,Примітка 356,Ручка,Інше
78,Примітка 357,Хліб,Інше
494,Примітка 358,Ручка,Оренда
996,Примітка 359,Папір,Оренда
-33,Примітка 360,Мило,Канцелярія
750,Примітка 361,Ручка,Інше
-184,Примітка 362,Ручка,Інше
-50,Примітка 363,Шафа,Оренда
-208,Примітка 364,Ручка,Їжа
76,Примітка 365,Ручка,Їжа
268,Примітка 366,Шафа,Оренда
-446,Примітка 367,Оренда офісу,Їжа
-932,Примітка 368,Хліб,Інше
-700,Примітка 369,Кава,Канцелярія
-384,Примітка 370,Хліб,Канцелярія
-472,Примітка 371,Оренда офісу,Інше
-473,Примітка 372,Кава,Канцелярія
-433,Примітка 373,Мило,Інше
46,Примітка 374,Папір,Їжа
665,Примітка 375,Хліб,Їжа
-263,Примітка 376,Кава,Інше
646,Примітка 377,Шафа,Інше
-141,Примітка 378,Кава,Оренда
-106,Примітка 379,Ручка,Їжа
-667,Примітка 380,Мило,Їжа
929,Примітка 381,Мило,Оренда
445,Примітка 382,Шафа,Оренда
390,Примітка 383,Ручка,Інше
955,Примітка 384,Шафа,Канцелярія
164,Примітка 385,Шафа,Канцелярія
373,Примітка 386,Хліб,Їжа
-905,Примітка 387,Ручка,Канцелярія
-501,Примітка 388,Оренда офісу,Інше
161,Примітка 389,Шафа,Їжа
453,Примітка 390,Мило,Їжа
307,Примітка 391,Мило,Оренда
-559,Примітка 392,Мило,Їжа
561,Примітка 393,Кава,Інше
974,Примітка 394,Ручка,Інше
-985,Примітка 395,Мило,Канцелярія
578,Примітка 396,Оренда офісу,Канцелярія
-382,Примітка 397,Мило,Інше
-759,Примітка 398,Папір,Їжа
-63,Примітка 399,Шафа,Їжа
-647,Примітка 400,Оренда офісу,Оренда
-800,Примітка 401,Папір,Канцелярія
631,Примітка 402,Ручка,Їжа
685,Примітка 403,Шафа,Їжа
-235,Примітка 404,Ручка,Їжа
221,Примітка 405,Оренда офісу,Канцелярія
918,Примітка 406,Папір,Інше
-457,Примітка 407,Папір,Інше
852,Примітка 408,Хліб,Оренда
-271,Примітка 409,Мило,Оренда
-837,Примітка 410,Хліб,Інше
659,Примітка 411,Шафа,Канцелярія
872,Примітка 412,Ручка,Оренда
628,Примітка 413,Шафа,Оренда
973,Примітка 414,Папір,Їжа
884,Примітка 415,Мило,Канцелярія
-401,Примітка 416,Кава,Їжа
-20,Примітка 417,Оренда офісу,Канцелярія
432,Примітка 418,Папір,Оренда
-570,Примітка 419,Шафа,Оренда
621,Примітка 420,Мило,Їжа
-202,Примітка 421,Ручка,Канцелярія
-822,Примітка 422,Кава,Оренда
320,Примітка 423,Папір,Оренда
886,Примітка 424,Хліб,Оренда
142,Примітка 425,Оренда офісу,Оренда
-801,Примітка 426,Мило,Оренда
-772,Примітка 427,Ручка,Інше
-852,Примітка 428,Ручка,Їжа
-115,Примітка 429,Папір,Інше
443,Примітка 430,Мило,Оренда
-68,Примітка 431,Мило,Інше
28,Примітка 432,Оренда офісу,Їжа
944,Примітка 433,Шафа,Інше
-216,Примітка 434,Папір,Їжа
312,Примітка 435,Кава,Їжа
596,Примітка 436,Хліб,Оренда
113,Примітка 437,Хліб,Канцелярія
71,Примітка 438,Папір,Оренда
-864,Примітка 439,Кава,Інше
246,Примітка 440,Папір,Оренда
888,Примітка 441,Мило,Інше
-148,Примітка 442,Папір,Їжа
481,Примітка 443,Кава,Оренда
-914,Примітка 444,Мило,Інше
-290,Примітка 445,Шафа,Канцелярія
-47,Примітка 446,Шафа,Їжа
-282,Примітка 447,Ручка,Їжа
717,Примітка 448,Мило,Інше
186,Примітка 449,Кава,Їжа
-602,Примітка 450,Кава,Канцелярія
129,Примітка 451,Мило,Канцелярія
17,Примітка 452,Папір,Канцелярія
-990,Примітка 453,Мило,Оренда
-976,Примітка 454,Кава,Канцелярія
-45,Примітка 455,Ручка,Канцелярія
403,Примітка 456,Хліб,Оренда
352,Примітка 457,Оренда офісу,Їжа
796,Примітка 458,Оренда офісу,Інше
727,Примітка 459,Папір,Канцелярія
-630,Примітка 460,Шафа,Канцелярія
117,Примітка 461,Оренда офісу,Інше
283,Примітка 462,Оренда офісу,Їжа
-100,Примітка 463,Ручка,Оренда
344,Примітка 464,Мило,Їжа
-387,Примітка 465,Мило,Оренда
-298,Примітка 466,Мило,Інше
-583,Примітка 467,Папір,Оренда
696,Примітка 468,Оренда офісу,Інше
999,Примітка 469,Кава,Канцелярія
499,Примітка 470,Мило,Оренда
616,Примітка 471,Мило,Канцелярія
368,Примітка 472,Ручка,Канцелярія
-144,Примітка 473,Оренда офісу,Канцелярія
611,Примітка 474,Ручка,Інше
640,Примітка 475,Папір,Їжа
0,Примітка 476,Оренда офісу,Канцелярія
876,Примітка 477,Ручка,Інше
-329,Примітка 478,Оренда офісу,Оренда
-3,Примітка 479,Хліб,Їжа
-142,Примітка 480,Хліб,Оренда
-585,Примітка 481,Хліб,Канцелярія
496,Примітка 482,Хліб,Канцелярія
-373,Примітка 483,Мило,Інше
-141,Примітка 484,Ручка,Канцелярія
18,Примітка 485,Мило,Інше
867,Примітка 486,Кава,Їжа
-781,Примітка 487,Папір,Канцелярія
-704,Примітка 488,Оренда офісу,Інше
-151,Примітка 489,Мило,Інше
103,Примітка 490,Папір,Інше
540,Примітка 491,Кава,Їжа
553,Примітка 492,Ручка,Інше
206,Примітка 493,Кава,Канцелярія
830,Примітка 494,Кава,Їжа
296,Примітка 495,Ручка,Оренда
738,Примітка 496,Ручка,Їжа
-314,Примітка 497,Ручка,Оренда
-746,Примітка 498,Ручка,Оренда
949,Примітка 499,Папір,Інше
-126,Примітка 500,Папір,Їжа
-206,Примітка 501,Папір,Канцелярія
-147,Примітка 502,Ручка,Оренда
476,Примітка 503,Папір,Їжа
-402,Примітка 504,Хліб,Оренда
-428,Примітка 505,Кава,Канцелярія
930,Примітка 506,Ручка,Їжа
-102,Примітка 507,Кава,Канцелярія
-516,Примітка 508,Мило,Оренда
879,Примітка 509,Шафа,Інше
-742,Примітка 510,Мило,Їжа
304,Примітка 511,Ручка,Інше
-588,Примітка 512,Оренда офісу,Оренда
-655,Примітка 513,Оренда офісу,Оренда
533,Примітка 514,Ручка,Інше
339,Примітка 515,Кава,Їжа
338,Примітка 516,Хліб,Оренда
-371,Примітка 517,Ручка,Канцелярія
850,Примітка 518,Мило,Канцелярія
-251,Примітка 519,Шафа,Канцелярія
-32,Примітка 520,Ручка,Їжа
-980,Примітка 521,Оренда офісу,Інше
-682,Примітка 522,Мило,Інше
270,Примітка 523,Оренда офісу,Інше
-683,Примітка 524,Оренда офісу,Їжа
-563,Примітка 525,Хліб,Оренда
597,Примітка 526,Папір,Інше
-844,Примітка 527,Оренда офісу,Інше
383,Примітка 528,Мило,Їжа
-970,Примітка 529,Папір,Оренда
512,Примітка 530,Кава,Канцелярія
-112,Примітка 531,Хліб,Інше
-83,Примітка 532,Хліб,Оренда
929,Примітка 533,Кава,Інше
684,Примітка 534,Шафа,Інше
834,Примітка 535,Мило,Канцелярія
-373,Примітка 536,Хліб,Канцелярія
454,Примітка 537,Оренда офісу,Канцелярія
5,Примітка 538,Хліб,Оренда
693,Примітка 539,Кава,Канцелярія
-472,Примітка 540,Хліб,Їжа
-667,Примітка 541,Шафа,Інше
84,Примітка 542,Папір,Інше
733,Примітка 543,Мило,Інше
997,Примітка 544,Хліб,Їжа
-216,Примітка 545,Мило,Оренда
-603,Примітка 546,Мило,Канцелярія
-111,Примітка 547,Ручка,Інше
-402,Примітка 548,Папір,Інше
-279,Примітка 549,Хліб,Канцелярія
961,Примітка 550,Ручка,Оренда
326,Примітка 551,Папір,Їжа
245,Примітка 552,Хліб,Інше
111,Примітка 553,Ручка,Оренда
8,Примітка 554,Оренда офісу,Оренда
319,Примітка 555,Шафа,Інше
669,Примітка 556,Кава,Їжа
0,Примітка 557,Кава,Канцелярія
274,Примітка 558,Папір,Оренда
-89,Примітка 559,Хліб,Оренда
-750,Примітка 560,Оренда офісу,Їжа
-875,Примітка 561,Кава,Канцелярія
498,Примітка 562,Папір,Канцелярія
456,Примітка 563,Хліб,Інше
252,Примітка 564,Кава,Інше
-614,Примітка 565,Кава,Інше
-884,Примітка 566,Хліб,Оренда
-318,Примітка 567,Кава,Їжа
523,Примітка 568,Оренда офісу,Оренда
697,Примітка 569,Ручка,Їжа
-280,Примітка 570,Мило,Канцелярія
-364,Примітка 571,Ручка,Їжа
688,Примітка 572,Шафа,Канцелярія
-528,Примітка 573,Кава,Їжа
-987,Примітка 574,Оренда офісу,Канцелярія
-957,Примітка 575,Мило,Інше
473,Примітка 576,Папір,Оренда
181,Примітка 577,Кава,Інше
-807,Примітка 578,Папір,Оренда
246,Примітка 579,Оренда офісу,Оренда
-537,Примітка 580,Мило,Оренда
895,Примітка 581,Мило,Інше
625,Примітка 582,Шафа,Інше
400,Примітка 583,Оренда офісу,Канцелярія
82,Примітка 584,Оренда офісу,Оренда
871,Примітка 585,Папір,Оренда
570,Примітка 586,Ручка,Їжа
976,Примітка 587,Шафа,Інше
-546,Примітка 588,Оренда офісу,Канцелярія
672,Примітка 589,Шафа,Їжа
38,Примітка 590,Папір,Оренда
-13,Примітка 591,Ручка,Інше
-554,Примітка 592,Шафа,Канцелярія
-762,Примітка 593,Шафа,Канцелярія
635,Примітка 594,Папір,Інше
-622,Примітка 595,Хліб,Їжа
749,Примітка 596,Оренда офісу,Канцелярія
-450,Примітка 597,Хліб,Їжа
-498,Примітка 598,Хліб,Їжа
693,Примітка 599,Папір,Їжа
74,Примітка 600,Кава,Оренда
-992,Примітка 601,Папір,Інше
-140,Примітка 602,Оренда офісу,Їжа
8,Примітка 603,Шафа,Їжа
123,Примітка 604,Папір,Оренда
352,Примітка 605,Хліб,Інше
-255,Примітка 606,Хліб,Їжа
162,Примітка 607,Оренда офісу,Оренда
-697,Примітка 608,Кава,Канцелярія
757,Примітка 609,Оренда офісу,Оренда
968,Примітка 610,Папір,Канцелярія
363,Примітка 611,Кава,Оренда
271,Примітка 612,Хліб,Оренда
278,Примітка 613,Папір,Канцелярія
-647,Примітка 614,Ручка,Оренда
-197,Примітка 615,Хліб,Оренда
126,Примітка 616,Оренда офісу,Канцелярія
-838,Примітка 617,Шафа,Інше
-919,Примітка 618,Хліб,Канцелярія
-441,Примітка 619,Папір,Їжа
0,Примітка 620,Хліб,Інше
117,Примітка 621,Шафа,Канцелярія
-399,Примітка 622,Кава,Оренда
-671,Примітка 623,Мило,Канцелярія
627,Примітка 624,Папір,Оренда
-729,Примітка 625,Мило,Інше
770,Примітка 626,Ручка,Їжа
469,Примітка 627,Папір,Канцелярія
312,Примітка 628,Кава,Їжа
128,Примітка 629,Оренда офісу,Канцелярія
533,Примітка 630,Мило,Їжа
-840,Примітка 631,Папір,Інше
-429,Примітка 632,Ручка,Канцелярія
-715,Примітка 633,Оренда офісу,Інше
-128,Примітка 634,Шафа,Канцелярія
288,Примітка 635,Мило,Канцелярія
-559,Примітка 636,Шафа,Інше
-558,Примітка 637,Ручка,Канцелярія
-304,Примітка 638,Хліб,Канцелярія
-512,Примітка 639,Хліб,Оренда
-314,Примітка 640,Оренда офісу,Канцелярія
293,Примітка 641,Хліб,Інше
686,Примітка 642,Хліб,Канцелярія
750,Примітка 643,Папір,Канцелярія
462,Примітка 644,Папір,Канцелярія
-969,Примітка 645,Мило,Інше
-614,Примітка 646,Ручка,Канцелярія
-936,Примітка 647,Кава,Їжа
-209,Примітка 648,Ручка,Їжа
412,Примітка 649,Оренда офісу,Канцелярія
-97,Примітка 650,Кава,Їжа
-600,Примітка 651,Ручка,Їжа
-116,Примітка 652,Шафа,Оренда
-44,Примітка 653,Оренда офісу,Їжа
-669,Примітка 654,Шафа,Їжа
-333,Примітка 655,Хліб,Інше
-731,Примітка 656,Папір,Оренда
-195,Примітка 657,Мило,Канцелярія
-703,Примітка 658,Шафа,Інше
31,Примітка 659,Хліб,Інше
684,Примітка 660,Шафа,Інше
-636,Примітка 661,Папір,Канцелярія
720,Примітка 662,Кава,Оренда
330,Примітка 663,Оренда офісу,Канцелярія
518,Примітка 664,Шафа,Канцелярія
488,Примітка 665,Оренда офісу,Інше
650,Примітка 666,Кава,Їжа
-447,Примітка 667,Ручка,Оренда
595,Примітка 668,Папір,Канцелярія
873,Примітка 669,Хліб,Оренда
817,Примітка 670,Хліб,Їжа
-679,Примітка 671,Ручка,Їжа
979,Примітка 672,Оренда офісу,Канцелярія
171,Примітка 673,Оренда офісу,Інше
-585,Примітка 674,Мило,Канцелярія
-597,Примітка 675,Оренда офісу,Канцелярія
-930,Примітка 676,Оренда офісу,Канцелярія
192,Примітка 677,Хліб,Канцелярія
-672,Примітка 678,Хліб,Інше
-215,Примітка 679,Хліб,Оренда
-967,Примітка 680,Ручка,Інше
-211,Примітка 681,Папір,Канцелярія
-801,Примітка 682,Кава,Оренда
964,Примітка 683,Кава,Їжа
480,Примітка 684,Шафа,Канцелярія
-838,Примітка 685,Мило,Канцелярія
-875,Примітка 686,Хліб,Їжа
-974,Примітка 687,Мило,Інше
384,Примітка 688,Ручка,Оренда
-921,Примітка 689,Кава,Канцелярія
-485,Примітка 690,Мило,Їжа
387,Примітка 691,Хліб,Їжа
-883,Примітка 692,Шафа,Їжа
-67,Примітка 693,Мило,Інше
505,Примітка 694,Папір,Їжа
-530,Примітка 695,Шафа,Їжа
-254,Примітка 696,Хліб,Інше
245,Примітка 697,Папір,Оренда
166,Примітка 698,Ручка,Інше
-982,Примітка 699,Шафа,Інше
820,Примітка 700,Кава,Оренда
250,Примітка 701,Кава,Їжа
821,Примітка 702,Мило,Оренда
882,Примітка 703,Хліб,Інше
432,Примітка 704,Ручка,Інше
98,Примітка 705,Папір,Їжа
-225,Примітка 706,Мило,Їжа
-695,Примітка 707,Хліб,Оренда
328,Примітка 708,Папір,Оренда
